element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ar,2,"=""410.38323""","=""0.00001""","=""410.383222""","=""0.000004""","=""158""","=""1.3e+08""",D,"=""158730.2995""","=""183090.8927""","=""3s2.3p4.(3P).4p""","=""2D*""","=""5/2""","=""3s2.3p4.(3P).5s""","=""2P""","=""3/2""",,"=""T1240""","=""L11520""",
Ar,2,"=""410.39118""","=""0.00001""","=""410.391181""","=""0.000007""","=""447""","=""1.2e+08""",D,"=""157234.0196""","=""181594.1404""","=""3s2.3p4.(3P).4p""","=""4D*""","=""7/2""","=""3s2.3p4.(3P).5s""","=""4P""","=""5/2""",,"=""T1240""","=""L11520""",
Ar,2,"=""411.28151""","=""0.00003""","=""411.281487""","=""0.000004""","=""513bl""","=""1.1e+06""",B,"=""135085.9958""","=""159393.3850""","=""3s2.3p4.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p4.(3P).4p""","=""2D*""","=""3/2""",,"=""T926""","=""L11520""",
Ar,2,"=""411.4487""","=""0.0008""","=""411.448850""","=""0.000020""","=""2""","=""""",,"=""172335.5985""","=""196633.1005""","=""3s2.3p4.(1D).3d""","=""2D""","=""5/2""","=""3s2.3p4.(3P<0>).4f""","=""2[3]*""","=""5/2""",,"=""""","=""L14821""",
Ar,2,"=""411.63756""","=""0.00012""","=""411.637493""","=""0.000017""","=""8""","=""""",,"=""172335.5985""","=""196621.9658""","=""3s2.3p4.(1D).3d""","=""2D""","=""5/2""","=""3s2.3p4.(3P<0>).4f""","=""2[3]*""","=""7/2""",,"=""""","=""L11520""",
Ar,2,"=""412.4058""","=""0.0008""","=""412.406120""","=""0.000014""","=""1""","=""""",,"=""155351.1206""","=""179592.2248""","=""3s2.3p4.(3P).4p""","=""4P*""","=""3/2""","=""3s2.3p4.(1S).3d""","=""2D""","=""5/2""",,"=""""","=""L14821""",
Ar,3,"=""412.719""","=""0.003""","=""412.7228""","=""0.0007""","=""4""","=""""",,"=""207532.33""","=""231754.836""","=""3s2.3p3.(2P*).4s""","=""3P*""","=""1""","=""3s2.3p3.(2D*).4p""","=""3P""","=""0""",,"=""""","=""L7493""",
Ar,2,"=""412.86399""","=""0.00005""","=""412.863985""","=""0.000006""","=""18""","=""1.4e+06""",B,"=""149179.2444""","=""173393.4658""","=""3s2.3p4.(3P).3d""","=""2F""","=""7/2""","=""3s2.3p4.(1D).4p""","=""2D*""","=""5/2""",,"=""T926""","=""L11520""",
Ar,2,"=""412.96820""","=""0.00007""","=""412.968211""","=""0.000006""","=""12""","=""""",,"=""159706.5337""","=""183914.6440""","=""3s2.3p4.(3P).4p""","=""2P*""","=""1/2""","=""3s2.3p4.(3P).5s""","=""2P""","=""1/2""",,"=""""","=""L11520""",
Ar,2,"=""413.17232""","=""0.00001""","=""413.172327""","=""0.000007""","=""891""","=""8.5e+07""",B,"=""148620.1414""","=""172816.2926""","=""3s2.3p4.(1D).4s""","=""2D""","=""3/2""","=""3s2.3p4.(1D).4p""","=""2P*""","=""1/2""",,"=""T926""","=""L11520""",
Ar,2,"=""414.4245""","=""0.0003""","=""414.42441""","=""0.00003""","=""5""","=""""",,"=""190942.7220""","=""215065.7716""","=""3s2.3p4.(3P).5p""","=""2S*""","=""1/2""","=""3s2.3p4.(1S).5s""","=""2S""","=""1/2""",,"=""""","=""L11520""",
Ar,3,"=""414.660""","=""0.004""","=""414.66313""","=""0.00007""","=""""","=""""",,"=""207233.003""","=""231342.1658""","=""3s2.3p3.(2P*).4s""","=""3P*""","=""2""","=""3s2.3p3.(2D*).4p""","=""3P""","=""2""",,"=""""","=""L16082""",
Ar,2,"=""414.7377""","=""0.0008""","=""414.738177""","=""0.000007""","=""2""","=""1.8e+04""",E,"=""135601.7336""","=""159706.5337""","=""3s2.3p4.(3P).4s""","=""4P""","=""1/2""","=""3s2.3p4.(3P).4p""","=""2P*""","=""1/2""",,"=""T997n""","=""L14821""",
Ar,3,"=""414.903""","=""0.003""","=""414.9063""","=""0.0007""","=""3""","=""""",,"=""207532.33""","=""231627.364""","=""3s2.3p3.(2P*).4s""","=""3P*""","=""1""","=""3s2.3p3.(2D*).4p""","=""3P""","=""1""",,"=""""","=""L7493""",
Ar,2,"=""415.2909""","=""0.0008""","=""415.2909""","=""0.0009""","=""0.5""","=""""",,"=""187589.3383""","=""211662.06""","=""3s2.3p4.(3P).4d""","=""2F""","=""5/2""","=""3s2.3p4.(3P<1>).6f""","=""2[3]*""","=""7/2""",,"=""""","=""L14821""",
Ar,2,"=""415.60854""","=""0.00002""","=""415.608541""","=""0.000007""","=""60""","=""3.9e+07""",D,"=""158167.7999""","=""182222.1209""","=""3s2.3p4.(3P).4p""","=""4D*""","=""3/2""","=""3s2.3p4.(3P).5s""","=""4P""","=""3/2""",,"=""T1240""","=""L11520""",
Ar,1,"=""415.8590""","=""""","=""415.859070""","=""""","=""400""","=""1.40e+06""",B,"=""93143.7600""","=""117183.5901""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[3/2]""","=""2""",,"=""T5223""","=""L2634""",
