obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""""","=""563.5576""","=""""","=""9.6e+04""",D,"=""106087.2598""","=""123826.750""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""2""",,"=""T1164n""","=""""",
"=""""","=""563.734""","=""""","=""9.1e+04""",D,"=""107054.2720""","=""124788.22""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""0""","=""3s2.3p5.(2P*<3/2>).7d""","=""2[3/2]*""","=""1""",,"=""T1164n""","=""""",
"=""""","=""563.912""","=""""","=""2.1e+05""",D,"=""107054.2720""","=""124782.61""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""0""","=""3s2.3p5.(2P*<3/2>).9s""","=""2[3/2]*""","=""1""",,"=""T1164n""","=""""",
"=""""","=""564.1376""","=""""","=""8.7e+04""",D,"=""106087.2598""","=""123808.513""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""2""",,"=""T1164n""","=""""",
"=""""","=""564.8687""","=""""","=""1.2e+05""",D,"=""106237.5518""","=""123935.870""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""1""",,"=""T1218n""","=""""",
"=""565.0704""","=""565.07040""","=""20""","=""3.20e+06""",C,"=""104102.0990""","=""121794.0988""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""0""",,"=""T1218n""","=""L2634""",
"=""""","=""565.9127""","=""""","=""2.6e+05""",D,"=""106237.5518""","=""123903.220""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""2""",,"=""T1218n""","=""""",
"=""""","=""568.1899""","=""""","=""2.0e+05""",D,"=""106237.5518""","=""123832.419""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""3""",,"=""T1218n""","=""""",
"=""""","=""568.3730""","=""""","=""2.0e+05""",D,"=""106237.5518""","=""123826.750""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""2""",,"=""T1218n""","=""""",
"=""""","=""570.08724""","=""""","=""5.9e+05""",D,"=""106237.5518""","=""123773.8614""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).6d""","=""2[7/2]*""","=""3""",,"=""T1218n""","=""""",
